station_id,model,lead_hours,n_samples,bias_c,mae_c,rmse_c,error_std_c
EGLC,ecmwf_ifs025,6,89,-2.2719101123595506,2.3011235955056177,2.7123106779060446,1.4899655856340612
EGLC,ecmwf_ifs025,12,89,-0.16292134831460675,0.8056179775280897,1.0866400125404607,1.0804441450448967
EGLC,ecmwf_ifs025,18,88,-0.1409090909090908,0.9886363636363636,1.361399680809824,1.3618476600236193
EGLC,ecmwf_ifs025,24,90,-0.10666666666666669,0.8711111111111112,1.244454365039822,1.2468206758603295
EGLC,ecmwf_ifs025,30,89,-0.006741573033707881,0.9595505617977529,1.3318906052186354,1.3394196294739842
EGLC,ecmwf_ifs025,36,89,-0.02808988764044932,1.052808988764045,1.4351525777241647,1.443007336657225
EGLC,ecmwf_ifs025,42,88,-0.1795454545454546,1.1136363636363635,1.494003164168488,1.4916749122671291
EGLC,ecmwf_ifs025,48,89,-0.09213483146067429,1.0337078651685394,1.4604139785567807,1.4657626559003587
EGLC,ecmwf_ifs025,54,88,-0.15000000000000002,1.1113636363636363,1.511696819050458,1.5128567784770335
EGLC,ecmwf_ifs025,60,88,-0.09886363636363642,1.2375,1.6953479128056712,1.7021618652977692
EGLC,ecmwf_ifs025,66,87,-0.18160919540229883,1.181609195402299,1.6329227727021247,1.6321998805743796
EGLC,ecmwf_ifs025,72,88,-0.10909090909090918,1.0954545454545455,1.4877530342463063,1.4922509698967479
EGLC,ecmwf_ifs025,78,87,-0.1298850574712644,1.286206896551724,1.7196965784227984,1.7247254545611987
EGLC,ecmwf_ifs025,84,87,-0.16206896551724118,1.1896551724137931,1.5558196272844993,1.5563255308511617
EGLC,ecmwf_ifs025,90,86,-0.1988372093023256,1.4569767441860466,2.025735582736007,2.0277773509318324
EGLC,ecmwf_ifs025,96,87,-0.318390804597701,1.435632183908046,1.8804804961901955,1.8640746027360664
EGLC,ecmwf_ifs025,102,86,-0.25930232558139527,1.4546511627906975,2.0971464554994608,2.093259653772597
EGLC,ecmwf_ifs025,108,86,-0.33255813953488383,1.6232558139534883,2.1730912501308706,2.1600894241001782
EGLC,ecmwf_ifs025,114,85,-0.4647058823529411,1.5023529411764704,2.0576685836159334,2.0164033210003343
EGLC,ecmwf_ifs025,120,86,-0.5616279069767441,1.691860465116279,2.1842193006858013,2.123159056115434
EGLC,ecmwf_ifs025,126,85,-0.52,1.7058823529411764,2.3643429630785007,2.3201395688724458
EGLC,ecmwf_ifs025,132,85,-0.39058823529411757,1.6047058823529412,2.163113224851952,2.140183766554136
EGLC,ecmwf_ifs025,138,84,-0.6571428571428571,1.7738095238095237,2.3169664074676035,2.235167211032245
EGLC,ecmwf_ifs025,144,85,-0.7352941176470589,1.9423529411764706,2.5486097709743407,2.4547187736486396
EGLC,ecmwf_ifs025,156,84,-1.3857142857142857,2.1071428571428577,2.7561619276502194,2.396792176360089
